Author,Title,ISBN,Location,Owner
Jed A. Bryan,Sacred Cows,934411204,Storage,Box #02
Dorothy Bryant,A Day in San Francisco,931688094,Storage,Box #21
Dorothy Bryant,The Kin of Ata Are Waiting for You,394732928,Storage,Box #25
Dorothy Bryant; Robert Bryant (Illustrator),The Garden of Eros,931688035,Storage,Box #27
James Buchanan,"All or Nothing (Taking the Odds, Book 3)",9781608201471,Storage,Box #02
James Buchanan,"Cheating Chance (Taking the Odds, Book 1)",9781934531082,Storage,Box #02
James Buchanan,"Inland Empire (Taking the Odds, Book 2)",9781608200160,Storage,Box #02
Elly Bulkin (Editor),Lesbian Fiction,930436113,Storage,Box #27
Vern L Bullough; Bonnie Bullough; James A. Brundage,Sexual Practices and the Medieval Church,879752556,Storage,Box #41
Katharine Burdekin; Daphne Patai (Afterword),The End of This Day’s Business,155861009X,Storage,Box #27
Lolah Burford,"Edward, Edward",,Storage,Box #02
"John R Burger; John Dececco,  Ph.d.",One-Handed Histories,1560238526,Storage,Box #36
K. C. Burn,Cop Out,1613722133,Storage,Box #02
John Horne Burns (Author),The Gallery,,Storage,Box #02
William S. Burroughs,Queer,140083898,Storage,Box #02
William S. Burroughs,The Western Lands,670813524,Storage,Box #02
PHILIP BURTON,"You, My Brother",6150837,Storage,Box #21
Charles Busch,Whores of Lost Atlantis,1562827804,Storage,Box #02
Agnes Bushell (Author),Death by Crystal,962462659,Storage,Box #27
Aldo Busi,Seminar on Youth,374260885,Storage,Box #02
Aldo Busi,Sodomies in Eleven Point,571142052,Storage,Box #02
Aldo Busi; Translated From the Italian by Raymond Rosenthal,The Standard Life of a Temporary Pantyhose Salesman,374227179,Storage,Box #02
Ronald R. Butters (Editor),Displacing Homophobia,082230970X,Storage,Box #40
Cardeno C,Home Series 1: Where He Ends and I Begin,9781615819119,Storage,Box #34
Cardeno C,Home Series 3: Love at First Sight,9781613720769,Storage,Box #34
Jack Cady,Street,312114559,Storage,Box #02
John Caffey,The Coming Out Party,523417071,Storage,Box #02
Susan Cahill (Editor),Women & Fiction,,Storage,Box #21
Sara Levi Calderón; Gina Kaufer (Translator),The Two Mujeres,1879960001,Storage,Box #27
Joseph Caldwell,In Such Dark Places,932870546,Storage,Box #02
Joseph Caldwell,The Uncle From Rome,140157077,Storage,Box #02
Joseph Caldwell,Under the Dog Star,670811084,Storage,Box #02
Jackie Calhoun,Friends and Lovers,1562800418,Storage,Box #27
Jackie Calhoun,Lifestyles,941483576,Storage,Box #27
Jackie Calhoun,Second Chance,941483932,Storage,Box #27
Jackie Calhoun,Sticks and Stones,1562800205,Storage,Box #27
Jackie Calhoun,Triple Exposure,1562800671,Storage,Box #27
Pat Califia,Macho Sluts,155583115X,Storage,Box #17
Pat Califia,Sensuous Magic,8553012952,Storage,Box #35
Anne Cameron,Child of Her People,933216289,Storage,Box #21
Anne Cameron,Dzelarhons,920080898,Storage,Box #27
Anne Cameron,Escape to Beulah,1550170295,Storage,Box #27
Anne Cameron,The Journey,933216246,Storage,Box #27
Lindsley Cameron,The Prospect of Detachment (Stonewall Inn Editions),312054963,Storage,Box #02
Peter Cameron,The Weekend,374287392,Storage,Box #02
Adolfo Caminha; E.A. Lacey (Translator),Bom-Crioulo,917342887,Storage,Box #02
Rufus C. Camphausen,The Encyclopedia of Erotic Wisdom,892813210,Storage,Box #35
Renaud Camus; Roland Barthes (Preface); A Note by Richard Howard,Tricks,312818238,Storage,Box #02
Pat Caplan (Editor),The Cultural Construction of Sexuality,415040132,Storage,Box #35
Truman Capote,Answered Prayers,452261376,Storage,Box #21
Truman Capote,Music for Chameleons,,Storage,Box #21
Truman Capote,"Other Voices, Other Rooms",,Storage,Box #21
Graham Carbery,A History of the Sydney Gay and Lesbian Mardi Gras,646237888,Storage,Box #40
Andrea Carlisle; Mary Narkiewicz (Illustrator); Debi Berrow (Illustrator),The Riverhouse Stories,934971013,Storage,Box #27
Kim Carlson,Breakfast in Bedlam,854491686,Storage,Box #02
William Carney,The Rose Exterminator,089696177x,Storage,Box #03
Edward Carpenter,Towards Democracy,907040748,Storage,Box #03
Humphrey Carpenter,"W.H. Auden, a Biography",395308534,Storage,Box #39
Jan Carr,Harem Wish,525937390,Storage,Box #27
Michael Carson,Brothers in Arms,394572130,Storage,Box #03
Nigel Cawthorne,Sex Lives of the Roman Emperors,076078311X,Storage,Box #41
John P. De Cecco (Editor); Michael G. Shively (Editor),Origins of Sexuality and Homosexuality,918393000,Storage,Box #35
Michael Chabon,The Mysteries of Pittsburgh,688076327,Storage,Box #03
Jack Challenge,St. Mick,915520389,Storage,Box #03
Aidan Chambers,Dance on My Grave,006091310x,Storage,Box #03
Jane Chambers,Chasin’ Jason,935672133,Storage,Box #21
John Champagne,The Blue Lady’s Hands,818404787,Storage,Box #03
John Champagne,When the Parrot Boy Sings,9780821620090,Storage,Box #03
Saxby L. Charles,Daddy's Chicken,,Storage,Box #17
Clifford Chase,The Hurry-Up Song,62510193,Storage,Box #42
Gillean Chase,Triad Moon,921881282,Storage,Box #27
T. A. Chase,Nick of Time,9781602728448,Storage,Box #17
T. A. Chase,Seduced and Revealed,9781611249613,Storage,Box #17
T. A. Chase,A Tabloid Love,9781605047768,Storage,Box #03
T. A. Chase,Voice for the Silent,9781611249798,Storage,Box #17
T.A. Chase,Finding Love: Nowhere Diner,9781602728493,Storage,Box #03
T.A. Chase,Playing the Game,9781605045115,Storage,Box #03
Bruce Chatwin,The Viceroy of Ouidah,671412531,Storage,Box #21
John Cheever,Falconer,394410718,Storage,Box #03
John Cheever,Oh What a Paradise it Seems,394513347,Storage,Box #21
Susan Cheever,Home Before Dark,395352975,Storage,Box #39
Jimmy Chesire,Home Boy,453006647,Storage,Box #03
Dr. Eustace Chesser,Strange Loves - The Human Aspects of Sexual Deviation,,Storage,Box #35
Christopher,Aphrodisiac,399506039,Storage,Box #16
Jan Clausen,"Mother, Sister, Daughter, Lover",895940345,Storage,Box #27
Jan Clausen,The Prosperine Papers,895942747,Storage,Box #27
Jan Clausen,Sinking Stealing,895941600,Storage,Box #27
Bob Cochran,Backdoor Seller,,Storage,Box #17
Charlie Cochrane; Lee Rowan; Erastes,Speak Its Name,979777364,Storage,Box #03
Christopher Coe,I Look Divine,089919530X,Storage,Box #03
Celia Cohen,Smokey O,1562800574,Storage,Box #27
Lonnie Coleman,Mark,671427857,Storage,Box #03
Andrew Collins,Fodor’s Gay Guide to the Pacific Northwest,679033769,Storage,Box #38
Andrew Collins,"Fodor's Gay Guide to New York City, 1st Edition",679033785,Storage,Box #38
Andrew Collins,Fodor's Gay Guide to the USA,679029095,Storage,Box #38
Gary David Comstock,Violence Against Lesbians and Gay Men,231073313,Storage,Box #40
Faith Conlon (Editor); Rachel Da Silva (Editor); Barbara Wilson (Editor),The Things That Divide Us,931188326,Storage,Box #27
Nicole Conn,Claire of the Moon,1562800388,Storage,Box #27
Heather Conrad,NEWS,941300048,Storage,Box #27
Storm Constantine,Wraeththu,312890001,Storage,Box #25
Jim Cooke,"Common Voices, Other Lives",1564740919,Storage,Box #16
Dennis Cooper,Closer,080213212X,Storage,Box #03
Dennis Cooper,Frisk,802132898,Storage,Box #03
Dennis Cooper,Try,080213338X,Storage,Box #03
Dennis Cooper,Wrong,802133673,Storage,Box #03
Diana Copland,Grand Jete,9781456477943,Storage,Box #03
Jeanne Córdova,Kicking the Habit,962508004,Storage,Box #27
Tee Corinne,The Body of Love,934411522,Storage,Box #18
Tee Corinne,Courting Pleasure,9780934411530,Storage,Box #27
Tee Corinne,Dreams of the Woman Who Loved Sex,934411050,Storage,Box #18
Tee Corinne (Editor),Intricate Passions,934411255,Storage,Box #18
Tee Corinne,Lovers,934411174,Storage,Box #18
Tee Corinne,Sparkling Lavender Dust of Lust,934411492,Storage,Box #27
Tee A. Corinne,The Poetry of Sex,934411506,Storage,Box #18
John Coriolan,Christy Dancing,912516879,Storage,Box #03
John Coriolan,A Sand Fortress,917342461,Storage,Box #18
John Coriolan,The Smile of Eros,917342399,Storage,Box #03
John Coriolan,Unzipped,917342313,Storage,Box #18
Tee Corrine (Editor),Riding Desire,934411441,Storage,Box #18
Georgia Cotrell,Shoulders,932379265,Storage,Box #27
Gina Covina,The City of Hermits,960962611,Storage,Box #27
Gina Covina (Editor); Laural Galana (Editor),The Lesbian Reader,,Storage,Box #16
Thomas Dale Cowan,Gay Men and Women Who Enriched the World,934791163,Storage,Box #39
Thomas Dale Cowan,Their Way,851407692,Storage,Box #39
Noel Coward,The Collected Stories of Noël Coward,525242074,Storage,Box #21
Noel Coward,Pomp and Circumstance,525480196,Storage,Box #21
Noel Coward,A Withered Nosegay,413549607,Storage,Box #21
Corey K. Creekmur (Editor); Alexander Doty (Editor),Out in Culture,822315327,Storage,Box #40
Quentin Crisp; Jo Lynch,Chog,413394905,Storage,Box #25
Louis Crompton,Byron and Greek Love,571135978,Storage,Box #41
Judston Crown,The Search for Sebastian,962349763,Storage,Box #03
Ouida Crozier,Shadows After Dark,1883061504,Storage,Box #25
Margaret Cruikshank (Editor),Lesbian Studies,935312064,Storage,Box #36
Margaret Cruikshank (Editor),New Lesbian Writing,091251681X,Storage,Box #16
Rich Cummings,Lip Service,,Storage,Box #18
Michael Cunningham,A Home at the End of the World,553550020,Storage,Box #21
Jameson Currier,Dancing on the Moon,670846562,Storage,Box #03
Daniel Curzon,Curzon in Love,915175274,Storage,Box #03
Daniel Curzon,From Violent Men,930650042,Storage,Box #03
Daniel Curzon,Human Warmth & Other Stories,912516534,Storage,Box #21
Daniel Curzon,The Misadventures of Tim Mcpick,,Storage,Box #03
Daniel Curzon,The Revolt of the Perverts,930650018,Storage,Box #03
Daniel Curzon,Something You Do in the Dark,879491388,Storage,Box #03
Daniel Curzon,The World Can Break Your Heart,091517507X,Storage,Box #03
Stan Cutler,Best Performance by a Patsy (A Goodman-Bradley Mystery),451403592,Storage,Box #03
Stan Cutler,The Face on the Cutting Room Floor (Goodman-Bradley Mystery),451403940,Storage,Box #03
Stan Cutler,Rough Cut,451182537,Storage,Box #03
Stan Cutler,Shot on Location,525935762,Storage,Box #03
John D’hondt,The Bunny Book,1879194058,Storage,Box #03
John Dagion (Editor),Trash,917342070,Storage,Box #18
Dan Dakota (Author),Rezo Strange; a Novel of the Old West.,940360004,Storage,Box #03
Cameron Dane,Aidan and Ethan,9781461045403,Storage,Box #18
Cameron Dane,A Fostered Love,1607374013,Storage,Box #18
Cameron Dane,Grey's Awakening (Cabin Fever),9781467973274,Storage,Box #18
Cameron Dane,More Than Friends,9781461090311,Storage,Box #18
Cameron Dane,Seeking Redemption 2: Devlin and Garrick,9781463711863,Storage,Box #18
Angelo D'arcangelo,The Homosexual Handbook ,,Storage,Box #40
Diane Davidson,Deadly Rendezvous,1883061024,Storage,Box #27
Terence Davies,Hallelujah Now,946189366,Storage,Box #03
Christopher Davis,The Boys in the Bars,091517538X,Storage,Box #04
Christopher Davis,Joseph and the Old Man,312010524,Storage,Box #03
Christopher Davis,Valley of the Shadow (Stonewall Inn Editions),312026668,Storage,Box #04
Christopher Davis; Based on the Screenplay Written by Ron Nyswaner,Philadelphia,553096028,Storage,Box #21
Rebecca Harding Davis,"Life in the Iron Mills, and Other Stories",935312390,Storage,Box #21
Elizabeth Dean,As the Road Curves,934678170,Storage,Box #27
Elizabeth Dean,On the Road Again,963082205,Storage,Box #27
Camilla Decarnin (Editor); Eric Garber (Editor); Lyn Paleo (Editor),Worlds Apart,932870872,Storage,Box #25
John Dececco (Editor),Journal of Homosexuality ,0091-8369,Storage,Box #40
John P. DeCecco (Editor),"Bashers, Baiters & Bigots",918393027,Storage,Box #36
John P. DeCecco; John P. Elia,"If You Seduce a Straight Person, Can You Make Them Gay?",1560243864,Storage,Box #36
Samuel R. Delany,Driftglass,,Storage,Box #25
Samuel R. Delany,The Mad Man,1563331934,Storage,Box #04
Samuel R. Delany,"Neveryóna, Or, the Tale of Signs and Cities",055301434X,Storage,Box #25
Samuel R. Delany,Nova,,Storage,Box #25
Richard Dellamora; Daniel Fischlin,The Work of Opera,023110944X,Storage,Box #40
William Delligan,Cherry Grove,445084855,Storage,Box #04
Jane Delynn,Don Juan in the Village,345374126,Storage,Box #27
John D'emilio; Estelle B. Freedman,Intimate Matters,60915501,Storage,Box #35
Ron Denby,American Lives,915175134,Storage,Box #04
Michael Denneny (Editor); Charles Ortleb (Editor); Thomas Steele (Editor),The Christopher Street Reader,399508120,Storage,Box #16
Michael Denneny (Editor); Charles Ortleb (Editor); Thomas Steele (Editor),First Love/Last Love,399130829,Storage,Box #16
Nolan Dennett,Place of Shelter,1557131309,Storage,Box #04
Florine DeVeer,Second Chances,932870694,Storage,Box #04
Florine DeVeer,The Wings of the Phoenix,1555831001,Storage,Box #04
Rachel Guido Devries,Tender Warriors,932379141,Storage,Box #27
N. A. Diaman; [Cover Graphic by Timothy Thompson],The Fourth Wall,931906016,Storage,Box #04
N.A. Diaman,Castro Street Memories,931906059,Storage,Box #04
Milton Diamond,The World of Sexual Behavior,831794429,Storage,Box #35
James Dillinger,Adreneline,452260752,Storage,Box #04
Dorothy Dinnerstein,The Mermaid and the Minotaur  Sexual Arrangements and Human Malaise,60905875,Storage,Box #35
Richard Dipple (Editor),Cracks in the Image; Stories by Gay Men.,090704008x,Storage,Box #04
E. Rex Dix,Sausages and Buns,,Storage,Box #18
Melvin Dixon,Trouble the Water,067174187x,Storage,Box #21
Melvin Dixon,Vanishing Rooms,452267617,Storage,Box #04
